feature,inferred_type,train_non_null_ratio,test_non_null_ratio,train_numeric_parse_ratio,test_numeric_parse_ratio,train_unique_ratio_non_null,id_like_flag,spearman_with_log_correction,drift_metric_name,drift_metric_value
esg_firma_firma-esg-score-2__archiv-input__umsatz,categorical,0.7972215452108213,0.8104385646973541,0.7972215452108213,0.8104385646973541,0.5385203301742586,0,,tv_categorical,0.02759612327616432
zertifikate_Umwelt/Nachhaltigkeit,categorical,0.09176212527418962,0.11815875317143892,0.09176212527418962,0.11815875317143892,0.009296148738379814,0,,tv_categorical,0.027249662262348057
esg_firma_kapitel-immobilien__miet-angaben__mietflaeche__wert,categorical,0.47830855471606143,0.474084813338166,0.47830855471606143,0.474084813338166,0.11337579617834395,0,,tv_categorical,0.02690492383643825
fuhrpark_Weitere Fahrzeuge,categorical,0.6424567389714843,0.666908300108735,0.6424567389714843,0.666908300108735,0.002276176024279211,0,,tv_categorical,0.026654486056180947
esg_firma_environmental__abfall__gesamt-quelle,categorical,0.619668535218133,0.6252265313519391,0.0,0.0,0.0017699115044247787,0,,tv_categorical,0.02597154620462206
esg_firma_environmental__co2-ausstoss-gesamt__emissions-reduktions-quote,categorical,0.0865220570314404,0.10438564697354114,0.0865220570314404,0.10438564697354114,0.0676056338028169,0,,tv_categorical,0.02594590614616712
esg_firma_environmental__abfall__gesamt-anteil-recycelt-quelle,categorical,0.4538142822325128,0.4668358100761145,0.0,0.0,0.0024167561761546724,0,,tv_categorical,0.025886830214757253
esg_firma_governance__esg-berichterstattung__extern-quelle,categorical,0.8002680965147453,0.7803552011598405,0.0,0.0,0.0013704888076747374,0,,tv_categorical,0.02586041720019042
fuhrpark_LKW,categorical,0.6423348769193273,0.6647335991301196,0.6423348769193273,0.6647335991301196,0.00474293302978562,0,,tv_categorical,0.025826539638028608
esg_firma_governance__wirtschaftspruefung__durchfuehrung-quelle,categorical,0.8312210577626127,0.8082638637187387,0.0,0.0,0.0014660606949127694,0,,tv_categorical,0.025725083627225993
esg_firma_esg-bewertung__input__abfallmenge-tonnen,categorical,0.593590056056544,0.6034795215657847,0.593590056056544,0.6034795215657847,0.39293779511393967,0,,tv_categorical,0.0255965520680463
mitarbeiter_konzern_anzahl,categorical,0.09602729709968316,0.12105835447625951,0.09602729709968316,0.12105835447625951,0.007614213197969543,0,,tv_categorical,0.025527913565309115
fuhrpark_PKW,categorical,0.6427004630757982,0.6658209496194273,0.6427004630757982,0.6658209496194273,0.0037921880925293893,0,,tv_categorical,0.025445273514716264
fuhrpark_Busse,categorical,0.6427004630757982,0.6676332004349402,0.6427004630757982,0.6676332004349402,0.0007584376185058779,0,,tv_categorical,0.025420185567769774
esg_firma_governance__esg-berichterstattung__intern-quelle,categorical,0.8002680965147453,0.7796303008336354,0.0,0.0,0.0013704888076747374,0,,tv_categorical,0.02536983299819429
esg_firma_environmental__co2-ausstoss-gesamt__wert,categorical,0.4985376553741165,0.4882203696991664,0.4985376553741165,0.4882203696991664,0.5744316792960157,0,,tv_categorical,0.025321445945589025
esg_firma_esg-bewertung__input__co2-emissionen-tonnen,categorical,0.4985376553741165,0.4882203696991664,0.4985376553741165,0.4882203696991664,0.5744316792960157,0,,tv_categorical,0.025321445945589025
fuhrpark_Maschinenfahrzeuge,categorical,0.6427004630757982,0.6676332004349402,0.6427004630757982,0.6676332004349402,0.0011376564277588168,0,,tv_categorical,0.025298323515612862
esg_firma_governance__esg-berichterstattung__durchfuehrung,categorical,0.803923958079454,0.7865168539325843,0.0,0.0,0.00045475216007276033,0,,tv_categorical,0.025089448689715722
fuhrpark_Motorräder,categorical,0.6427004630757982,0.6676332004349402,0.6427004630757982,0.6676332004349402,0.00018960940462646946,0,,tv_categorical,0.024932737359142004
esg_firma_governance__esg-zertifizierungen__zertifikate,categorical,0.09919571045576407,0.11960855382384922,0.054350475262003414,0.07031533164189924,0.7555282555282555,0,,tv_categorical,0.02467777226451499
esg_firma_environmental__co2-ausstoss-gesamt__wert-quelle,categorical,0.4979283451133317,0.4878579195360638,0.0,0.0,0.0022026431718061676,0,,tv_categorical,0.024150505773893802
esg_firma_environmental__abfall__gesamt-wert,categorical,0.6206434316353887,0.6263138818412468,0.6206434316353887,0.6263138818412468,0.40192420969958764,0,,tv_categorical,0.023660429514485486
esg_firma_firma-esg-score-2__archiv-input__pruefungsurteil-konzern,categorical,0.3523031927857665,0.37586081913736863,0.3523031927857665,0.37586081913736863,0.0006918021445866483,0,,tv_categorical,0.023557626351602107
esg_firma_governance__beteiligungsdauer__quelle,categorical,0.7776017548135511,0.7644073939833272,0.0,0.0,0.001567152483936687,0,,tv_categorical,0.023418715096062546
esg_firma_environmental__co2-ausstoss-gesamt__scope-2,categorical,0.18778942237387278,0.20369699166364624,0.18778942237387278,0.20369699166364624,0.7514600908500974,0,,tv_categorical,0.023288703878040096
immobilie_grundstuecksflaeche__wert,categorical,0.05569095783572996,0.06487857919536064,0.05569095783572996,0.06487857919536064,0.6258205689277899,0,,tv_categorical,0.023169491961123924
esg_firma_social__kuendigungen__anzahl-durch-mitarbeiter-quelle,categorical,0.7760175481355106,0.7553461399057629,0.0,0.0,0.001413316582914573,0,,tv_categorical,0.023103304833484484
esg_firma_environmental__co2-ausstoss-elektrizitaet__wert,categorical,0.277845478917865,0.26458861906487857,0.277845478917865,0.26458861906487857,0.37763157894736843,0,,tv_categorical,0.023004300197779538
esg_firma_governance__esg-berichterstattung__durchfuehrung-quelle,categorical,0.8024616134535706,0.7828923523015585,0.0,0.0,0.001366742596810934,0,,tv_categorical,0.022818768646461988
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__datum-gruendung__:monat,categorical,0.25347306848647333,0.25045306270387824,0.25347306848647333,0.25045306270387824,0.0057692307692307696,0,,tv_categorical,0.022779193293532424
branche_6,categorical,0.029978064830611748,0.035882566147154765,0.029978064830611748,0.035882566147154765,0.483739837398374,0,,tv_categorical,0.022759096434622907
esg_firma_environmental__co2-ausstoss-gesamt__scope-1,categorical,0.19168900804289543,0.20732149329467198,0.19168900804289543,0.20732149329467198,0.8232676414494596,0,,tv_categorical,0.02244216234428135
esg_firma_esg-bewertung__input__berichterstattung,categorical,0.803923958079454,0.7865168539325843,0.0,0.0,0.00030316810671517357,0,,tv_categorical,0.02240349245422571
